dataset,feature_name,source_columns,formula,reason,used_in_model,used_in_error_analysis,used_in_cost_analysis,used_in_explainability,risk_of_redundancy,kept_or_removed,uses_target,notes
taiwan,bill_volatility,"BILL_AMT1, BILL_AMT2, BILL_AMT3, BILL_AMT4, BILL_AMT5, BILL_AMT6",row-wise population std(BILL_AMT1..BILL_AMT6),bill_balance_variability,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,payment_volatility,"PAY_AMT1, PAY_AMT2, PAY_AMT3, PAY_AMT4, PAY_AMT5, PAY_AMT6",row-wise population std(PAY_AMT1..PAY_AMT6),payment_amount_variability,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,delinquency_intensity,"NumTrades60Ever2DerogPubRec, NumTrades90Ever2DerogPubRec, PercentTradesNeverDelq","NumTrades60Ever2DerogPubRec + 2*NumTrades90Ever2DerogPubRec + max(0, 100 - PercentTradesNeverDelq) / 100",delinquency_frequency_and_severity,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,trade_activity_ratio,"NumTradesOpeninLast12M, NumTotalTrades",NumTradesOpeninLast12M / (NumTotalTrades + 1),recent_trade_activity_relative_to_total_history,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,recent_inquiry_pressure,"NumInqLast6Mexcl7days, MSinceMostRecentInqexcl7days",NumInqLast6Mexcl7days / (MSinceMostRecentInqexcl7days + 1),recent_credit_inquiry_pressure,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,revolving_burden_proxy,NetFractionRevolvingBurden,NetFractionRevolvingBurden,revolving_credit_burden,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,installment_burden_proxy,NetFractionInstallBurden,NetFractionInstallBurden,installment_credit_burden,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,credit_history_length_proxy,"MSinceOldestTradeOpen, AverageMInFile","row-wise max(MSinceOldestTradeOpen, AverageMInFile)",credit_history_length,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,negative_trade_signal,"NumTrades60Ever2DerogPubRec, NumTrades90Ever2DerogPubRec, PercentTradesNeverDelq",1 if NumTrades60Ever2DerogPubRec > 0 or NumTrades90Ever2DerogPubRec > 0 or PercentTradesNeverDelq < 100 else 0,negative_trade_history_indicator,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
heloc,high_utilization_signal,"NetFractionRevolvingBurden, NumBank2NatlTradesWHighUtilization",1 if NetFractionRevolvingBurden >= 80 or NumBank2NatlTradesWHighUtilization > 0 else 0,high_credit_utilization_indicator,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,default_next_month,default_next_month,target,Prediction label only.,False,True,False,False,NA,target_not_feature,True,Never used as model feature.
heloc,bad_flag,bad_flag,target,Prediction label only.,False,True,False,False,NA,target_not_feature,True,Never used as model feature.
